0.788,2.017
0.788,2.0154
0.788,2.017
0.788,2.017
0.788,2.0172
0.788,2.0169
0.788,2.0171
0.788,2.017
0.788,2.0171
0.788,2.017
0.788,2.0169
0.788,2.0171
0.788,2.0177
0.788,2.0176
0.788,2.0171
0.788,2.0169
0.788,2.017
0.788,2.0169
0.788,2.0167
0.788,2.0168
0.688,1.9590
0.688,1.9596
0.688,1.9589
0.688,1.9590
0.688,1.9589
0.688,1.9589
0.688,1.9589
0.688,1.9589
0.688,1.9589
0.688,1.9589
0.688,1.9588
0.688,1.9589
0.688,1.9591
0.688,1.9586
0.688,1.9586
0.688,1.9588
0.588,1.9133
0.588,1.9137
0.588,1.9137
0.588,1.9137
0.588,1.9136
0.588,1.9135
0.588,1.9136
0.588,1.9136
0.588,1.9133
0.588,1.9134
0.588,1.9142
0.588,1.9135
0.588,1.9134
0.588,1.9135
0.488,1.889
0.488,1.889
0.488,1.889
0.488,1.889
0.488,1.889
0.488,1.888
0.488,1.889
0.488,1.889
0.488,1.888
0.488,1.888
0.488,1.889
0.488,1.888
0.488,1.889
0.488,1.888
0.488,1.889
0.488,1.888
0.488,1.889
0.488,1.889
0.488,1.891
0.488,1.889
0.388,1.9047
0.388,1.9052
0.388,1.9050
0.388,1.9051
0.388,1.9051
0.388,1.9053
0.388,1.9049
0.388,1.9051
0.388,1.9050
0.388,1.9049
0.388,1.9051
0.388,1.9049
0.388,1.9048
0.388,1.9047
0.388,1.9046
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.998
0.288,1.997
0.288,1.997
0.189,2.269
0.189,2.268
0.189,2.268
0.189,2.268
0.189,2.268
0.189,2.267
0.189,2.267
0.189,2.267
0.189,2.267
0.189,2.267
0.189,2.266
0.189,2.267
0.189,2.266
0.189,2.267
0.189,2.266
0.189,2.267
0.189,2.265
0.189,2.267
0.139,2.558
0.139,2.557
0.139,2.558
0.139,2.558
0.139,2.557
0.139,2.557
0.139,2.557
0.139,2.557
0.139,2.557
0.139,2.556
0.139,2.556
0.139,2.556
0.139,2.556
0.139,2.556
0.139,2.555
0.139,2.556
0.139,2.555
0.139,2.554
0.139,2.555
0.139,2.554
